line, threshold, probability, betrivers, draftkings, fanduel, mgm, pointsbet
Delon Wright O*ptsreb, 9.0, 0.21929824561403508, , , , 356.0*, 356.0*, 
Delon Wright U*ptsreb, 9.0, 0.44748328194450004, , , , 121.0*, 126.0*, 
Haywood Highsmith O*steals, 0.5, 0.5959183673469388, , , -150, -145, , 
Haywood Highsmith U*steals, 0.5, 0.47326023718952787, , , 118, 105, , 
Nikola Jovic O*steals, 0.5, 0.6168526130358192, , , -162, -160, , 
Nikola Jovic U*steals, 0.5, 0.44851166532582465, , , 126, 120, , 
Payton Pritchard O*steals, 0.5, 0.43478260869565216, , , , 130, , 
Payton Pritchard U*steals, 0.5, 0.6363636363636364, , , , -175, , 
Sam Hauser O*steals, 0.5, 0.45454545454545453, , , , 120, , 
Sam Hauser U*steals, 0.5, 0.6153846153846154, , , , -160, , 
Delon Wright O*steals, 0.5, 0.6666666666666666, , , , -200, , 
Delon Wright U*steals, 0.5, 0.40816326530612246, , , , 145, , 
Sam Hauser O*blocks, 0.5, 0.24390243902439024, , , , 310, , 
Haywood Highsmith O*blocks, 0.5, 0.35714285714285715, , , , 180, , 
Haywood Highsmith U*blocks, 0.5, 0.7142857142857143, , , , -250, , 
Haywood Highsmith O*stlblk, 1.5, 0.37735849056603776, , , , 165, , 
Haywood Highsmith U*stlblk, 1.5, 0.6923076923076923, , , , -225, , 
Nikola Jovic O*blocks, 0.5, 0.37037037037037035, , , , 170, , 
Nikola Jovic U*blocks, 0.5, 0.7142857142857143, , , , -250, , 
Sam Hauser O*stlblk, 0.5, 0.574468085106383, , , , -135, , 
Sam Hauser U*stlblk, 0.5, 0.5, , , , 100, , 
Payton Pritchard O*stlblk, 0.5, 0.47619047619047616, , , , 110, , 
Payton Pritchard U*stlblk, 0.5, 0.6, , , , -150, , 
Nikola Jovic O*stlblk, 1.5, 0.40816326530612246, , , , 145, , 
Nikola Jovic U*stlblk, 1.5, 0.6666666666666666, , , , -200, , 
Nikola Jovic O*turnovers, 1.5, 0.37037037037037035, , , , 170, , 
Nikola Jovic U*turnovers, 1.5, 0.6923076923076923, , , , -225, , 
Delon Wright O*turnovers, 0.5, 0.425531914893617, , , , 135, , 
Delon Wright U*turnovers, 0.5, 0.6491228070175439, , , , -185, , 
Delon Wright O*blocks, 0.5, 0.39215686274509803, , , , 155, , 
Delon Wright U*blocks, 0.5, 0.6774193548387096, , , , -210, , 
Delon Wright O*stlblk, 1.5, 0.46511627906976744, , , , 115, , 
Delon Wright U*stlblk, 1.5, 0.6, , , , -150, , 
Luka Doncic O*points, 39.5, 0.8211600298058613, -455.0*, -454.0*, -458.0*, -462.0*, -467.0*, 
Luka Doncic U*points, 39.5, 0.8239306668519235, -459.0*, -470.0*, -472.0*, -472.0*, -467.0*, 
Luka Doncic O*assists, 9.0, 0.2156179378256479, 363.0*, 366.0*, 368.0*, 361.0*, 361.0*, 
Luka Doncic U*assists, 9.0, 0.4087187459116993, 381.0*, 126.0*, 114.0*, 116.0*, 116.0*, 
Luka Doncic O*rebounds, 9.5, 0.5299948152239196, -120, -108, -102, -120, -115, 
Luka Doncic U*rebounds, 9.5, 0.5341705147760435, -112, -112, -125, -110, -115, 
Luka Doncic O*rebast, 19.0, 0.5044877832567162, , 336.0*, -337.0*, 331.0*, -366.0*, 
Luka Doncic U*rebast, 19.0, 0.5908170361362853, , -104.0*, -341.0*, -114.0*, -121.0*, 
Luka Doncic O*threes, 4.0, 0.7010264163337857, 450.0*, -480.0*, -505.0*, -490.0*, -490.0*, 
Luka Doncic U*threes, 4.0, 0.5640928479891795, 465.0*, -195.0*, -185.0*, -200.0*, -200.0*, 
Luka Doncic O*steals, 1.5, 0.45464566297899633, 116, , 124, 120, , 
Luka Doncic U*steals, 1.5, 0.611876951138237, -155, , -158, -160, , 
Luka Doncic O*stlblk, 1.5, 0.6363636363636364, , , , -175, , 
Luka Doncic U*stlblk, 1.5, 0.43478260869565216, , , , 130, , 
Paul George O*points, 24.5, 0.5273796177774392, -106, -105, -108, -120, -120, 
Paul George U*points, 24.5, 0.528450106380258, -103, -115, -118, -115, -110, 
Paul George O*assists, 4.5, 0.4925925925925926, 100, 105, 116, -105, 100, 
Paul George U*assists, 4.5, 0.5684136426410451, -132, -125, -148, -125, -130, 
Paul George O*rebounds, 5.5, 0.5035011404254138, 522.0*, -155, -130, -145, -145, 
Paul George U*rebounds, 5.5, 0.41045621864759685, 488.0*, 130, 102, 110, 110, 
Paul George O*rebast, 10.5, 0.5154748304500779, , -108, 102, -110, -110, 
Paul George U*rebast, 10.5, 0.5461070922514728, , -112, -130, -120, -120, 
Paul George O*threes, 3.5, 0.48972793409766285, 110, 114, 108, -105, -105, 
Paul George U*threes, 3.5, 0.5743694316575565, -148, -135, -138, -130, -125, 
Paul George O*ptsast, 29.5, 0.6044291655134177, , -105, -349.0*, , -110, 
Paul George U*ptsast, 29.5, 0.6185397217537275, , -115, -345.0*, , -120, 
Paul George O*ptsreb, 30.5, 0.5399571049318591, , -112, -113, -120, -125, 
Paul George U*ptsreb, 30.5, 0.524206511009276, , -108, -113, -115, -105, 
Paul George O*blocks, 0.5, 0.563946097126875, -130, , -128, -130, , 
Paul George U*blocks, 0.5, 0.5024630541871922, -103, , 100, 100, , 
Paul George O*turnovers, 2.5, 0.5918367346938775, , , , -145, , 
Paul George U*turnovers, 2.5, 0.47619047619047616, , , , 110, , 
Paul George O*stlblk, 2.5, 0.45454545454545453, , , , 120, , 
Paul George U*stlblk, 2.5, 0.6153846153846154, , , , -160, , 
James Harden O*points, 30.5, 0.8385704807539899, -358.0*, -564.0*, -617.0*, -572.0*, -567.0*, 
James Harden U*points, 18.5, 0.25703420745867434, 306.0*, 298.0*, 258.0*, 296.0*, 291.0*, 
James Harden O*assists, 8.0, 0.5649747054883524, 370.0*, -398.0*, 384.0*, -408.0*, -408.0*, 
James Harden U*assists, 8.0, 0.49852838515090764, 390.0*, -148.0*, 106.0*, -152.0*, -152.0*, 
James Harden O*rebounds, 5.5, 0.5522849581325244, -117, -118, -118, -135, -130, 
James Harden U*rebounds, 5.5, 0.5113783089308213, -114, -102, -108, 100, 100, 
James Harden O*rebast, 13.5, 0.5628019323671497, , -125, -130, -130, -130, 
James Harden U*rebast, 13.5, 0.4957135957498189, , 105, 102, 100, 100, 
James Harden O*threes, 3.5, 0.42213461170649247, 143, 140, 132, 130, 140, 
James Harden U*threes, 3.5, 0.5916884948239931, 135, -166, -170, -175, -180, 
James Harden O*ptsast, 30.5, 0.6020165441829092, , -105, -358.0*, , -105, 
James Harden U*ptsast, 30.5, 0.6201847396715079, , -115, -335.0*, , -125, 
James Harden O*turnovers, 2.5, 0.6, , , , -150, , 
James Harden U*turnovers, 2.5, 0.46511627906976744, , , , 115, , 
James Harden O*stlblk, 1.5, 0.6153846153846154, , , , -160, , 
James Harden U*stlblk, 1.5, 0.45454545454545453, , , , 120, , 
James Harden O*blocks, 0.5, 0.5850574778337888, -141, , -142, -140, , 
James Harden U*blocks, 0.5, 0.4808649262319804, 107, , 112, 105, , 
